	Combine the ponzu, vinegar, ginger and sesame oil in a bowl. Pat the tofu dry using kitchen paper and tear into chunks, then gently toss in the ponzu mixture.	Pour some boiling water over the edamame and set aside for 2 mins before draining thoroughly and seasoning with salt.	Divide the quinoa between bowls and top with the edamame, radishes and carrots. Spoon over the tofu and drizzle over the remaining dressing before scattering over the spring onions, seaweed and sesame seeds.
1 tbsp ponzu sauce	X		X
½ tbsp rice vinegar	X		X
5g ginger, peeled and grated	X		
1 tsp sesame oil	X		
300g silken tofu	X		X
100g edamame beans		X	X
250g pouch cooked quinoa			X
100g radishes, sliced			X
2 carrots, peeled into ribbons			X
2 spring onions, finely sliced			X
2 small seaweed thins, crumbled			X
1 tsp sesame seeds			X
